"Timestamp","Choose your preferred alcohol","How do you like your cocktail?","What would you add to your chosen drink?","You may also add some liquor of your choosing"
"2017/09/14 6:34:56 PM GMT+3","White Rum","Sour","Pomegranate Juice;Lemon Juice;Crannberry Juice","Coinntreau (orange liquor)"
"2017/09/14 6:35:45 PM GMT+3","Gin","Bitter","Lemon Juice","White Dry Vermouth (fortified wine)"
"2017/09/14 6:36:38 PM GMT+3","Vodka","Sweet & Sour","Pomegranate Juice;Orange Juice;Lemon Juice;Apple Juice;Crannberry Juice","Cherry liquor"
"2017/09/14 6:37:13 PM GMT+3","Gin","Sweet","Apple Juice","Cherry liquor"
"2017/09/14 6:38:55 PM GMT+3","White Rum","Sweet & Sour","Pomegranate Juice","White Dry Vermouth (fortified wine)"
"2017/09/14 6:41:42 PM GMT+3","Vodka","Sweet & Sour","Orange Juice;Apple Juice","Cherry liquor"
"2017/09/14 6:43:45 PM GMT+3","Gin","Sweet & Sour","Lemon Juice","Coinntreau (orange liquor)"
"2017/09/14 6:43:56 PM GMT+3","Vodka","Bitter","Lemon Juice","Campari (deep red bitter herb liquor)"
"2017/09/14 6:44:56 PM GMT+3","White Rum","Sweet","Pomegranate Juice;Orange Juice;Lemon Juice;Apple Juice;Crannberry Juice",""
"2017/09/14 6:45:18 PM GMT+3","Vodka","Sweet","Orange Juice","Cherry liquor"
"2017/09/14 6:45:51 PM GMT+3","Vodka","Sweet & Sour","Orange Juice;Apple Juice","Red Sweet Vermouth (fortified wine)"
"2017/09/14 6:46:51 PM GMT+3","Gin","Bitter","Lemon Juice;Crannberry Juice","Campari (deep red bitter herb liquor)"
"2017/09/14 6:47:56 PM GMT+3","Gin","Sweet & Sour","Pomegranate Juice;Crannberry Juice","Campari (deep red bitter herb liquor);Cherry liquor"
"2017/09/14 6:48:00 PM GMT+3","White Rum","Sweet & Sour","Crannberry Juice","Coinntreau (orange liquor)"
"2017/09/14 6:48:34 PM GMT+3","White Rum","Bitter","Pomegranate Juice",""
"2017/09/14 6:49:23 PM GMT+3","Gin","Sour","Crannberry Juice","Campari (deep red bitter herb liquor);Cherry liquor"
"2017/09/14 6:49:31 PM GMT+3","White Rum","Sweet & Sour","Apple Juice;Crannberry Juice","Red Sweet Vermouth (fortified wine);Cherry liquor"
"2017/09/14 6:50:05 PM GMT+3","Gin","Sweet & Sour","Lemon Juice","Coinntreau (orange liquor)"
"2017/09/14 6:50:46 PM GMT+3","Gin","Sweet","Lemon Juice","Coinntreau (orange liquor)"
"2017/09/14 6:51:06 PM GMT+3","Gin","Bitter","Lemon Juice","Coinntreau (orange liquor)"
"2017/09/14 6:51:45 PM GMT+3","Vodka","Sweet & Sour","Orange Juice;Lemon Juice","Campari (deep red bitter herb liquor)"
"2017/09/14 6:52:31 PM GMT+3","White Rum","Sweet & Sour","Orange Juice;Apple Juice",""
"2017/09/14 6:53:34 PM GMT+3","Vodka","Sweet","Apple Juice","Cherry liquor"
"2017/09/14 6:53:48 PM GMT+3","White Rum","Sweet & Sour","Pomegranate Juice;Apple Juice","Cherry liquor"
"2017/09/14 6:54:23 PM GMT+3","Gin","Sweet & Sour","Apple Juice;Crannberry Juice","Cherry liquor"
"2017/09/14 6:54:56 PM GMT+3","White Rum","Sweet & Sour","Pomegranate Juice","White Dry Vermouth (fortified wine)"
"2017/09/14 6:55:03 PM GMT+3","White Rum","Sweet & Sour","Crannberry Juice","Red Sweet Vermouth (fortified wine)"
"2017/09/14 6:55:42 PM GMT+3","Vodka","Sweet & Sour","Apple Juice","Red Sweet Vermouth (fortified wine)"
"2017/09/14 6:56:30 PM GMT+3","White Rum","Sweet & Sour","Lemon Juice","Cherry liquor"
"2017/09/14 6:56:42 PM GMT+3","Vodka","Sweet & Sour","Orange Juice;Lemon Juice","Campari (deep red bitter herb liquor)"
"2017/09/14 6:57:20 PM GMT+3","White Rum","Sweet & Sour","Lemon Juice","White Dry Vermouth (fortified wine)"
"2017/09/14 6:58:10 PM GMT+3","Vodka","Bitter","Crannberry Juice","Cherry liquor"
"2017/09/14 6:58:19 PM GMT+3","Gin","Sweet & Sour","Pomegranate Juice;Apple Juice","Coinntreau (orange liquor);Campari (deep red bitter herb liquor);Cherry liquor"
"2017/09/14 6:59:09 PM GMT+3","Vodka","Sweet & Sour","Lemon Juice","Campari (deep red bitter herb liquor)"
"2017/09/14 6:59:22 PM GMT+3","White Rum","Sweet & Sour","Lemon Juice","Coinntreau (orange liquor)"
"2017/09/14 6:59:45 PM GMT+3","Gin","Bitter","Lemon Juice","White Dry Vermouth (fortified wine)"
"2017/09/14 6:59:52 PM GMT+3","White Rum","Sweet","Apple Juice",""
"2017/09/14 7:00:25 PM GMT+3","White Rum","Sweet","Apple Juice","Red Sweet Vermouth (fortified wine)"
"2017/09/14 7:00:43 PM GMT+3","Vodka","Sour","Orange Juice;Crannberry Juice","Coinntreau (orange liquor);Cherry liquor"
"2017/09/14 7:01:10 PM GMT+3","White Rum","Sweet & Sour","Pomegranate Juice","Cherry liquor"
"2017/09/14 7:01:11 PM GMT+3","White Rum","Sweet & Sour","Pomegranate Juice","Cherry liquor"
"2017/09/14 7:01:38 PM GMT+3","Gin","Sour","Crannberry Juice","Campari (deep red bitter herb liquor)"
"2017/09/14 7:02:14 PM GMT+3","White Rum","Sweet & Sour","Pomegranate Juice",""
"2017/09/14 7:03:20 PM GMT+3","White Rum","Bitter","Orange Juice;Lemon Juice;Apple Juice","Campari (deep red bitter herb liquor)"
"2017/09/14 7:04:18 PM GMT+3","White Rum","Sweet","Orange Juice;Apple Juice;Crannberry Juice","Coinntreau (orange liquor);Cherry liquor"
"2017/09/14 7:04:37 PM GMT+3","Gin","Sour","Orange Juice;Lemon Juice","Coinntreau (orange liquor);Campari (deep red bitter herb liquor);White Dry Vermouth (fortified wine);Red Sweet Vermouth (fortified wine);Cherry liquor"
"2017/09/14 7:04:57 PM GMT+3","Gin","Bitter","Lemon Juice",""
"2017/09/14 7:06:34 PM GMT+3","Gin","Sour","Lemon Juice","Campari (deep red bitter herb liquor)"
"2017/09/14 7:08:01 PM GMT+3","White Rum","Sweet & Sour","Pomegranate Juice;Crannberry Juice","Campari (deep red bitter herb liquor);Cherry liquor"
"2017/09/14 7:08:25 PM GMT+3","Vodka","Sweet & Sour","Orange Juice","Campari (deep red bitter herb liquor)"
"2017/09/14 7:09:50 PM GMT+3","Vodka","Sour","Lemon Juice",""
"2017/09/14 7:10:50 PM GMT+3","Vodka","Sweet","Orange Juice",""
"2017/09/14 7:13:37 PM GMT+3","Gin","Sweet & Sour","Lemon Juice",""
"2017/09/14 7:29:39 PM GMT+3","Gin","Bitter","Lemon Juice","Campari (deep red bitter herb liquor)"
"2017/09/14 7:29:41 PM GMT+3","Vodka","Sweet & Sour","Pomegranate Juice;Orange Juice;Lemon Juice;Apple Juice;Crannberry Juice","Cherry liquor"
"2017/09/14 7:31:16 PM GMT+3","Gin","Sweet & Sour","Pomegranate Juice;Lemon Juice","Coinntreau (orange liquor);White Dry Vermouth (fortified wine)"
"2017/09/14 7:31:46 PM GMT+3","White Rum","Sweet & Sour","Lemon Juice;Crannberry Juice","Cherry liquor"
"2017/09/14 7:32:40 PM GMT+3","White Rum","Sweet & Sour","Lemon Juice","Cherry liquor"
"2017/09/14 7:32:48 PM GMT+3","White Rum","Sweet & Sour","Pomegranate Juice;Apple Juice","Red Sweet Vermouth (fortified wine);Cherry liquor"
"2017/09/14 7:33:23 PM GMT+3","Gin","Sweet","Orange Juice;Lemon Juice","Coinntreau (orange liquor);Red Sweet Vermouth (fortified wine);Cherry liquor"
"2017/09/14 7:33:40 PM GMT+3","Vodka","Sweet & Sour","Orange Juice","Coinntreau (orange liquor)"
"2017/09/14 7:34:42 PM GMT+3","Vodka","Sweet & Sour","Orange Juice","Campari (deep red bitter herb liquor)"
"2017/09/14 7:35:10 PM GMT+3","Gin","Bitter","Crannberry Juice","White Dry Vermouth (fortified wine)"
"2017/09/14 7:35:58 PM GMT+3","Vodka","Sweet & Sour","Orange Juice","Campari (deep red bitter herb liquor)"
"2017/09/14 9:18:28 PM GMT+3","White Rum","Sweet","Apple Juice","Red Sweet Vermouth (fortified wine)"